mh mH cba tb Z4 Z5 Z7 chisq tot_hbobs stb uni per mA Gamma_h Gamma_A S T U V W X 
125.000000 300.000000 -0.650000 13.710000 -1.000000 1.000000 0.000000 233.856264 0.000000e+00 0 1 0 -nan -nan -nan -1.143673e-03 2.701426e-02 4.507354e-03 1.475063e-04 4.842521e-04 -1.018468e-04
125.000000 300.000000 -0.650000 14.080000 -1.000000 1.000000 0.000000 233.856264 0.000000e+00 0 1 0 -nan -nan -nan -1.143673e-03 2.701426e-02 4.507354e-03 1.475063e-04 4.842521e-04 -1.018468e-04
125.000000 300.000000 -0.650000 14.450000 -1.000000 1.000000 0.000000 233.856264 0.000000e+00 0 1 0 -nan -nan -nan -1.143673e-03 2.701426e-02 4.507354e-03 1.475063e-04 4.842521e-04 -1.018468e-04
125.000000 300.000000 -0.650000 14.820000 -1.000000 1.000000 0.000000 233.856264 0.000000e+00 0 1 0 -nan -nan -nan -1.143673e-03 2.701426e-02 4.507354e-03 1.475063e-04 4.842521e-04 -1.018468e-04
125.000000 300.000000 -0.650000 15.190000 -1.000000 1.000000 0.000000 233.856264 0.000000e+00 0 1 0 -nan -nan -nan -1.143673e-03 2.701426e-02 4.507354e-03 1.475063e-04 4.842521e-04 -1.018468e-04
125.000000 300.000000 -0.650000 15.560000 -1.000000 1.000000 0.000000 233.856264 0.000000e+00 0 1 0 -nan -nan -nan -1.143673e-03 2.701426e-02 4.507354e-03 1.475063e-04 4.842521e-04 -1.018468e-04
125.000000 300.000000 -0.650000 15.930000 -1.000000 1.000000 0.000000 233.856264 0.000000e+00 0 1 0 -nan -nan -nan -1.143673e-03 2.701426e-02 4.507354e-03 1.475063e-04 4.842521e-04 -1.018468e-04
125.000000 300.000000 -0.650000 16.300000 -1.000000 1.000000 0.000000 233.856264 0.000000e+00 0 1 0 -nan -nan -nan -1.143673e-03 2.701426e-02 4.507354e-03 1.475063e-04 4.842521e-04 -1.018468e-04
125.000000 300.000000 -0.650000 16.670000 -1.000000 1.000000 0.000000 233.856264 0.000000e+00 0 1 0 -nan -nan -nan -1.143673e-03 2.701426e-02 4.507354e-03 1.475063e-04 4.842521e-04 -1.018468e-04
125.000000 300.000000 -0.650000 17.040000 -1.000000 1.000000 0.000000 233.856264 0.000000e+00 0 1 0 -nan -nan -nan -1.143673e-03 2.701426e-02 4.507354e-03 1.475063e-04 4.842521e-04 -1.018468e-04
