mh mH cba tb Z4 Z5 Z7 chisq tot_hbobs stb uni per mA Gamma_h Gamma_A mHc l6 l7 m12_2 S T U V W X 
125.000000 350.000000 -0.624000 2.980000 -1.000000 1.000000 0.000000 187.015134 1.546294e+00 0 1 1 142.340688 2.105670e-02 2.909324e-02 2.844037e+02 5.551115e-17 -2.775558e-16 1.845193e+04 1.004808e-02 1.938379e-02 1.774481e-03 1.512993e-03 8.886857e-04 -7.354689e-05
125.000000 350.000000 -0.624000 3.350000 -1.000000 1.000000 0.000000 188.150365 1.305295e+00 0 1 1 142.340688 2.477744e-02 3.670660e-02 2.844037e+02 2.775558e-17 -1.110223e-16 1.748866e+04 1.004808e-02 1.938379e-02 1.774481e-03 1.512993e-03 8.886857e-04 -7.354689e-05
125.000000 350.000000 -0.624000 3.720000 -1.000000 1.000000 0.000000 189.376061 1.118534e+00 0 1 1 142.340688 2.880697e-02 4.522292e-02 2.844037e+02 -8.326673e-17 0.000000e+00 1.649244e+04 1.004808e-02 1.938379e-02 1.774481e-03 1.512993e-03 8.886857e-04 -7.354689e-05
125.000000 350.000000 -0.624000 4.090000 -1.000000 1.000000 0.000000 190.695031 9.707249e-01 0 1 1 142.340688 3.314579e-02 5.463904e-02 2.844037e+02 -1.110223e-16 1.110223e-16 1.553437e+04 1.004808e-02 1.938379e-02 1.774481e-03 1.512993e-03 8.886857e-04 -7.354689e-05
125.000000 350.000000 -0.624000 4.460000 -1.000000 1.000000 0.000000 192.253314 2.734158e+00 0 1 1 142.340688 3.779423e-02 6.495306e-02 2.844037e+02 -5.551115e-17 5.551115e-16 1.464116e+04 1.004808e-02 1.938379e-02 1.774481e-03 1.512993e-03 8.886857e-04 -7.354689e-05
125.000000 350.000000 -0.624000 4.830000 -1.000000 1.000000 0.000000 194.111532 2.427485e+00 0 1 1 142.340688 4.275255e-02 7.616377e-02 2.844037e+02 1.249001e-16 -1.110223e-16 1.382017e+04 1.004808e-02 1.938379e-02 1.774481e-03 1.512993e-03 8.886857e-04 -7.354689e-05
125.000000 350.000000 -0.624000 5.200000 -1.000000 1.000000 0.000000 196.338963 2.173073e+00 0 1 1 142.340688 4.802096e-02 8.827039e-02 2.844037e+02 4.163336e-17 -5.551115e-16 1.307025e+04 1.004808e-02 1.938379e-02 1.774481e-03 1.512993e-03 8.886857e-04 -7.354689e-05
125.000000 350.000000 -0.624000 5.570000 -1.000000 1.000000 0.000000 198.968086 1.959479e+00 0 1 1 142.340688 5.359959e-02 1.012724e-01 2.844037e+02 1.387779e-17 -4.440892e-16 1.238671e+04 1.004808e-02 1.938379e-02 1.774481e-03 1.512993e-03 8.886857e-04 -7.354689e-05
125.000000 350.000000 -0.624000 5.940000 -1.000000 1.000000 0.000000 201.998220 1.778422e+00 0 1 1 142.340688 5.948857e-02 1.151693e-01 2.844037e+02 1.110223e-16 -4.440892e-16 1.176361e+04 1.004808e-02 1.938379e-02 1.774481e-03 1.512993e-03 8.886857e-04 -7.354689e-05
125.000000 350.000000 -0.624000 6.310000 -1.000000 1.000000 0.000000 205.394911 1.623802e+00 0 1 0 142.340688 6.568798e-02 1.299610e-01 2.844037e+02 -2.775558e-17 1.110223e-16 1.119488e+04 1.004808e-02 1.938379e-02 1.774481e-03 1.512993e-03 8.886857e-04 -7.354689e-05
125.000000 350.000000 -0.624000 6.680000 -1.000000 1.000000 0.000000 209.099941 1.490675e+00 0 1 0 142.340688 7.219790e-02 1.456472e-01 2.844037e+02 6.245005e-17 3.330669e-16 1.067473e+04 1.004808e-02 1.938379e-02 1.774481e-03 1.512993e-03 8.886857e-04 -7.354689e-05
125.000000 350.000000 -0.624000 7.050000 -1.000000 1.000000 0.000000 213.033094 6.725780e-01 0 1 0 142.340688 7.901838e-02 1.622278e-01 2.844037e+02 -4.163336e-17 -4.440892e-16 1.019790e+04 1.004808e-02 1.938379e-02 1.774481e-03 1.512993e-03 8.886857e-04 -7.354689e-05
125.000000 350.000000 -0.624000 7.420000 -1.000000 1.000000 0.000000 217.106617 7.433757e-01 0 1 0 142.340688 8.614948e-02 1.797027e-01 2.844037e+02 2.081668e-17 3.330669e-16 9.759684e+03 1.004808e-02 1.938379e-02 1.774481e-03 1.512993e-03 8.886857e-04 -7.354689e-05
